<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">notion</span></div><br><div class="mot">The Way to Discoveries</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">notion</span></div><br><div class="mot">La voie des découvertes</div>;ANGLAIS::niveau::B1 ANGLAIS::type::notion ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a stroke of luck</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un coup de chance</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a hypothesis</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une hypothèse</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">several hypotheses</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">plusieurs hypothèses</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a theory</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une théorie</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">experimentation</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">l’experimentation</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a test</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un test, un essai</div>;ANGLAIS::niveau::A1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a procedure</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un protocole</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a check</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un contrôle, une vérification</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">an improvement</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">amélioration</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a discovery / a find(ing)</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une découverte</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a breakthrough</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une découverte capitale, une percée</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a patent</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un brevet</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to experiment</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">expérimenter</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to carry out an experiment</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">procéder à une expérience</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to proceed by trial and error</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">tâtonner</div>;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to progress, make headway</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">progresser</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to prove</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">prouver</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to disprove</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">réfuter</div>;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to confirm</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">confirmer</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to invalidate</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">infirmer</div>;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to analyse</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">analyser</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to synthesise</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">synthétiser</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">irr. verb</span></div><br><div class="mot">to build / contrive a theory</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">irr. verb</span></div><br><div class="mot">élaborer une théorie</div>;ANGLAIS::niveau::B2 ANGLAIS::type::irr-verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to discover</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">découvrir</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to devise, design</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">inventer, imaginer, concevoir</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to test, put to test</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">tester, mettre à l'essai</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to put to the acid test</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">faire subir l'épreuve de vérité</div>;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to check</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">vérifier</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to develop</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">mettre au point</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">to improve, upgrade</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">améliorer</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">random</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">aléatoire</div>;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">other</span></div><br><div class="mot">at random</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">other</span></div><br><div class="mot">au hasard</div>;ANGLAIS::niveau::B2 ANGLAIS::type::other ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">empirical</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">empirique</div>;ANGLAIS::niveau::C1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">confirmed</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">avéré, confirmé</div>;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">major</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">crucial, majeur</div>;ANGLAIS::niveau::B1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">spectacular</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">spectaculaire</div>;ANGLAIS::niveau::B1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">ground-breaking</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">révolutionnaire</div>;ANGLAIS::niveau::C1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">controversial, debatable</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">contestable, controversé</div>;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
