<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une recherche d’emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une recherche d’emploi</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un recruteur</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un recruteur</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un service de ressources humaines</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un service de ressources humaines</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un cabinet de recrutement</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un cabinet de recrutement</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un chasseur de têtes</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un chasseur de têtes</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un entretien (d’embauche)</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un entretien (d’embauche)</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un rendez-vous</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un rendez-vous</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un test</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un test</div>;ANGLAIS::niveau::A1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">la psychologie</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">la psychologie</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">la discrimination (positive)</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">la discrimination (positive)</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">les pratiques de restriction</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">les pratiques de restriction</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le sexisme</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le sexisme</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">la discrimination par l’âge</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">la discrimination par l’âge</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le racisme</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le racisme</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">rechercher un emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">rechercher un emploi</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">changer d’emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">changer d’emploi</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">postuler</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">postuler</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">remplir un formulaire</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">remplir un formulaire</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">faire passer un entretien à qqn</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">faire passer un entretien à qqn</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">irr. verb</span></div><br><div class="mot">passer un test</div><br><div class="note">-- Note --<br><br>sit, sat, sat</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">irr. verb</span></div><br><div class="mot">passer un test</div><br><div class="note">-- Note --<br><br>sit, sat, sat</div>;ANGLAIS::niveau::B1 ANGLAIS::type::irr-verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">sélectionner</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">sélectionner</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">irr. verb</span></div><br><div class="mot">choisir</div><br><div class="note">-- Note --<br><br>choose, chose, chosen</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">irr. verb</span></div><br><div class="mot">choisir</div><br><div class="note">-- Note --<br><br>choose, chose, chosen</div>;ANGLAIS::niveau::A1 ANGLAIS::type::irr-verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">proposer un emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">proposer un emploi</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">irr. verb</span></div><br><div class="mot">embaucher</div><br><div class="note">-- Note --<br><br>take, took, taken</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">irr. verb</span></div><br><div class="mot">embaucher</div><br><div class="note">-- Note --<br><br>take, took, taken</div>;ANGLAIS::niveau::B1 ANGLAIS::type::irr-verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">recruter</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">recruter</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">pourvoir un poste</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">pourvoir un poste</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">nommer quelqu’un à un poste</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">nommer quelqu’un à un poste</div>;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">employer quelqu’un comme…</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">employer quelqu’un comme…</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">signer un contrat</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">signer un contrat</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">refuser (un candidat) à l’embauche</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">refuser (un candidat) à l’embauche</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
