<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">pay, salary</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">la paie, le salaire</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a wage earner</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un salarié</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a (pay) rise, (pay) hike</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une augmentation (de salaire)</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a wage increase (UK), a raise (US)</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une hausse de salaire</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a wage / a pay freeze</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un gel de salaire</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the minimum wage</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le salaire minimum</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the income</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le(s) revenu(s)</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">gross income</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le revenu brut</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">net income</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le revenu net (imposable)</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">disposable income</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le revenu disponible</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">purchasing power</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le pouvoir d’achat</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈpaʊə]</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a bonus</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une prime, une gratification</div><br><div class="note">-- Note --<br><br>Pluriel : several bonuses</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">profit-sharing</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">l’intéressement</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">fringe benefits</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les avantages sociaux</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a perk</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un avantage en nature</div><br><div class="note">-- Note --<br><br>Abréviation de "perquisite"</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">an expense account</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les frais de représentation</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a company car</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une voiture de fonction</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a lunch voucher</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un ticket-restaurant</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to earn money</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">gagner de l’argent en travaillant</div><br><div class="note">-- Note --<br><br>Ne pas confondre avec "to win money" (gagner au jeu)</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to earn one’s living (as…)</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">gagner sa vie (comme…)</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to eke out a living</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">gagner un maigre salaire</div>;ANGLAIS::niveau::C2 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to be/to get paid</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">gagner, être payé</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to be paid in kind</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">être payé en nature</div>;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to be paid in cash</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">être payé en espèces</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to draw/to earn a salary</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">toucher un salaire</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to get a rise</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">obtenir une augmentation</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to increase, to raise</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">augmenter</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">to freeze (wages)</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">geler (les salaires)</div><br><div class="note">-- Note --<br><br>freeze, froze, frozen</div>;ANGLAIS::niveau::B2 ANGLAIS::type::irr-verb ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-expr">expr</span></div><br><div class="mot">to keep one’s head above water</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-expr">expr</span></div><br><div class="mot">survivre tant bien que mal</div>;ANGLAIS::niveau::B2 ANGLAIS::type::expr ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-adj">adj</span></div><br><div class="mot">overpaid</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-adj">adj</span></div><br><div class="mot">surpayé</div>;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-adj">adj</span></div><br><div class="mot">well-paid</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-adj">adj</span></div><br><div class="mot">bien payé</div>;ANGLAIS::niveau::A2 ANGLAIS::type::adj ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-adj">adj</span></div><br><div class="mot">badly-paid</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-adj">adj</span></div><br><div class="mot">mal payé</div>;ANGLAIS::niveau::B1 ANGLAIS::type::adj ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-adj">adj</span></div><br><div class="mot">underpaid</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-adj">adj</span></div><br><div class="mot">sous-payé</div>;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Work::Working-conditions::Pay
