The Way to Discoveries;La voie des découvertes;ANGLAIS::niveau::B1 ANGLAIS::type::notion ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
to build / contrive a theory;élaborer une théorie;ANGLAIS::niveau::B2 ANGLAIS::type::irr-verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
to discover;découvrir;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
to devise, design;inventer, imaginer, concevoir;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
to test, put to test;tester, mettre à l'essai;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
to put to the acid test;faire subir l'épreuve de vérité;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
to check;vérifier;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
to develop;mettre au point;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
to improve, upgrade;améliorer;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
random;aléatoire;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
at random;au hasard;ANGLAIS::niveau::B2 ANGLAIS::type::other ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
empirical;empirique;ANGLAIS::niveau::C1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
confirmed;avéré, confirmé;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
major;crucial, majeur;ANGLAIS::niveau::B1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
spectacular;spectaculaire;ANGLAIS::niveau::B1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
ground-breaking;révolutionnaire;ANGLAIS::niveau::C1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
controversial, debatable;contestable, controversé;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
