<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le chômage</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le chômage</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un demandeur</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un demandeur</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">la perte de statut</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">la perte de statut</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">indemniser, dédommager (de qqch)</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">indemniser, dédommager (de qqch)</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">réclamer des indemnités</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">réclamer des indemnités</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">toucher des allocations chômage</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">toucher des allocations chômage</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">irr. verb</span></div><br><div class="mot">toucher le chômage</div><br><div class="note">-- Note --<br><br>be, was/were, been</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">irr. verb</span></div><br><div class="mot">toucher le chômage</div><br><div class="note">-- Note --<br><br>be, was/were, been</div>;ANGLAIS::niveau::B2 ANGLAIS::type::irr-verb ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">verb</span></div><br><div class="mot">pointer à une agence pour l’emploi</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">verb</span></div><br><div class="mot">pointer à une agence pour l’emploi</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">irr. verb</span></div><br><div class="mot">retrouver un emploi</div><br><div class="note">-- Note --<br><br>find, found, found</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">irr. verb</span></div><br><div class="mot">retrouver un emploi</div><br><div class="note">-- Note --<br><br>find, found, found</div>;ANGLAIS::niveau::A2 ANGLAIS::type::irr-verb ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">sans emploi, au chômage</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">sans emploi, au chômage</div>;ANGLAIS::niveau::B1 ANGLAIS::type::adj ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">inactif, désœuvré</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈaɪdl]</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">inactif, désœuvré</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈaɪdl]</div>;ANGLAIS::niveau::C1 ANGLAIS::type::adj ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">temporaire</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">temporaire</div>;ANGLAIS::niveau::B1 ANGLAIS::type::adj ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">chronique</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">chronique</div>;ANGLAIS::niveau::C1 ANGLAIS::type::adj ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">adj</span></div><br><div class="mot">cyclique, conjoncturel</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">adj</span></div><br><div class="mot">cyclique, conjoncturel</div>;ANGLAIS::niveau::C1 ANGLAIS::type::adj ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
